match_rank,real_name,sim_lens_id,sim_filename_base,match_score,theta_e_sim,z_lens_sim,z_source_sim,mag_sim
3,COSJ100128+022502,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100128+022544,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100128+022544,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100128+022544,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100129+020455,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100129+020455,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100129+020455,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100130+021315,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100130+021315,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100130+021315,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100130+021921,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100130+021921,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100130+021921,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100130+021936,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100130+021936,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100130+021936,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100130+022214,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100130+022214,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100130+022214,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100131+015748,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100131+015748,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100131+015748,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100131+022056,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100131+022056,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100131+022056,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100131+022553,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100131+022553,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100131+022553,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100132+020533,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100132+020533,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
3,COSJ100132+020533,92,cosmos_lens_000092,2.1688564043058194,0.3293324585592724,0.5195,1.320023945746547,21.867019855764593
1,COSJ100132+022652,98,cosmos_lens_000098,1.7387304807880168,0.374372077625477,0.3,1.06435840316254,19.086261716898104
2,COSJ100132+022652,42,cosmos_lens_000042,1.937218245425547,0.5165236197167611,0.3,1.120694625708786,21.492863769968597
