name,n_bands_available,f115w_available,f115w_sum,f115w_max,f115w_mean,f115w_std,f150w_available,f150w_sum,f150w_max,f150w_mean,f150w_std,f277w_available,f277w_sum,f277w_max,f277w_mean,f277w_std,f444w_available,f444w_sum,f444w_max,f444w_mean,f444w_std,notes
COSJ100128+022502,4,Yes,1967.61,9.2868,0.021862,0.177924,Yes,2428.82,12.3466,0.026987,0.228632,Yes,2246.76,8.9888,0.024964,0.19947,Yes,1520.83,5.3211,0.016898,0.138248,
COSJ100128+022544,4,Yes,165.65,1.3842,0.001841,0.037884,Yes,247.11,1.6902,0.002746,0.034487,Yes,414.9,1.6609,0.00461,0.037198,Yes,534.05,1.8748,0.005934,0.055509,
COSJ100129+020455,4,Yes,252.42,2.3438,0.002805,0.038176,Yes,326.31,1.59,0.003626,0.037775,Yes,594.39,3.1147,0.006604,0.058296,Yes,572.7,3.0645,0.006363,0.061333,
COSJ100130+021315,4,Yes,339.53,0.7344,0.003773,0.043775,Yes,10.55,0.2635,0.000117,0.022276,Yes,798.96,2.5036,0.008877,0.073468,Yes,-6.9,0.0747,-7.7e-05,0.006591,
COSJ100130+021921,4,Yes,647.2,1.5455,0.007191,0.063748,Yes,823.24,2.4483,0.009147,0.077209,Yes,1584.83,3.8617,0.017609,0.125426,Yes,1333.52,2.3028,0.014817,0.098186,
COSJ100130+021936,4,Yes,1278.33,8.1853,0.014204,0.140775,Yes,1972.51,15.6787,0.021917,0.242645,Yes,4513.17,26.6758,0.050146,0.55542,Yes,3079.35,14.5209,0.034215,0.371611,
COSJ100130+022214,4,Yes,8406.21,82.2447,0.093402,1.035977,Yes,11083.72,101.6115,0.123152,1.362097,Yes,9460.06,52.1788,0.105112,1.027515,Yes,5322.14,24.688,0.059135,0.548748,
COSJ100131+015748,4,Yes,210.13,0.7583,0.002335,0.040206,Yes,346.19,1.548,0.003847,0.03981,Yes,589.63,2.1995,0.006551,0.050682,Yes,703.22,1.5114,0.007814,0.051532,
COSJ100131+022056,4,Yes,249.72,16.1663,0.002775,0.091687,Yes,303.07,18.6413,0.003367,0.101939,Yes,280.46,2.9555,0.003116,0.041359,Yes,247.67,1.8809,0.002752,0.030695,
COSJ100131+022553,4,Yes,805.6,4.0482,0.008951,0.073661,Yes,1171.73,6.0004,0.013019,0.101482,Yes,2425.94,9.0161,0.026955,0.191216,Yes,1933.48,6.8901,0.021483,0.155266,
COSJ100132+020533,4,Yes,2188.42,29.574,0.024316,0.292632,Yes,2918.97,30.7854,0.032433,0.366745,Yes,5137.6,33.7206,0.057084,0.524934,Yes,3897.46,19.0838,0.043305,0.362939,
COSJ100132+022652,4,Yes,1424.24,10.6374,0.015825,0.147878,Yes,2117.72,17.9372,0.02353,0.243372,Yes,4141.2,25.8154,0.046013,0.449087,Yes,2546.66,11.6204,0.028296,0.247528,
COSJ100132+022807,4,Yes,3391.07,35.315,0.037679,0.427257,Yes,4589.01,49.4891,0.050989,0.588071,Yes,4965.66,30.737,0.055174,0.571688,Yes,2661.07,12.1421,0.029567,0.267299,
COSJ100133+022036,4,Yes,648.42,1.4187,0.007205,0.041652,Yes,1133.5,1.7154,0.012594,0.049608,Yes,2502.24,2.2999,0.027803,0.086927,Yes,3055.55,4.2508,0.033951,0.126401,
COSJ100134+022028,4,Yes,1075.17,2.6766,0.011946,0.075117,Yes,1498.79,2.8997,0.016653,0.086141,Yes,1904.4,1.5892,0.02116,0.086234,Yes,1589.54,2.0399,0.017662,0.083451,
COSJ100134+022037,4,Yes,1240.01,7.2917,0.013778,0.099301,Yes,2267.72,13.3177,0.025197,0.168635,Yes,5318.3,19.9089,0.059092,0.332287,Yes,6138.61,12.8978,0.068207,0.314921,
COSJ100134+022039,4,Yes,942.83,2.159,0.010476,0.05072,Yes,1762.18,2.9053,0.01958,0.074359,Yes,4151.38,6.6034,0.046126,0.163815,Yes,5602.6,7.9737,0.062251,0.234093,
COSJ100135+022033,4,Yes,161.82,1.8777,0.001798,0.03769,Yes,389.71,4.3424,0.00433,0.048682,Yes,850.51,4.7016,0.00945,0.074445,Yes,1070.77,5.3739,0.011897,0.096562,
