LP_zfinal,LP_mass_med_PDF,Reff_kpc,nsersic,rearc_arcsec,mag,best_filter
1.5924,10.06117,1.129279964829954,1.0663958557848738,0.1332904248553055,22.289698279074827,f277w
1.6342,10.19467,0.5493093275035185,2.591591159709749,0.0648397789778106,22.16057612493179,f277w
2.5005,10.12917,1.082140420823793,1.9020337155206868,0.1340633630233244,22.807242802829492,f277w
2.3668,10.28626,2.704734581629445,1.166146969019223,0.3313695144177689,22.236072182629815,f277w
0.9288,10.15444,4.350876225316567,1.105642711936817,0.553556272104775,21.95357414164708,f150w
1.5191,10.64885,4.228577329702522,1.2355900448009645,0.4994804005335596,20.97598550446979,f277w
2.4514,10.74352,2.6164717428748077,1.172482196933491,0.3227944720835098,22.222342120723617,f277w
1.606,10.89812,3.4722537074667468,1.127182744228673,0.4098279224710083,20.87935478338421,f277w
2.7677,10.87683,4.550954916513547,0.4161448862537288,0.5776310859266645,22.13679215177116,f277w
0.606,10.54824,5.173443975759883,2.1790807592296133,0.7702853718579956,19.84861644701885,f150w
1.4521,10.94894,1.991831310358343,2.9319154112408388,0.2356922396083202,19.997942847578592,f277w
0.6601,10.14847,6.643052935370614,1.267501996135312,0.952395741651664,20.12439726256252,f150w
2.826,10.23728,2.2345925387448404,0.9356365332590116,0.2852040316993271,23.311984785423704,f277w
1.2019,10.75947,4.708980240019819,1.592328892581619,0.567662585877264,19.992687254210978,f277w
1.6727,10.00032,2.153942544177315,0.9481183869317706,0.2543361774385236,21.388744268846217,f277w
2.3684,10.48901,2.4937387637808506,0.9771129091275615,0.305558693781973,22.190995253208936,f277w
3.8686,11.26543,2.9527012768428804,0.8606175524154952,0.4189555319110749,21.425974662136717,f444w
2.2587,10.0526,2.2179643943122604,1.917245040081652,0.2694695356694823,22.918618997672983,f277w
2.4602,10.18514,1.6069008954999864,2.4955956154193113,0.1983907860953345,24.447509532513536,f277w
2.468,11.1,0.8261387881884473,3.1233429122490106,0.102063942222908,21.774861822859584,f277w
2.7111,10.2,3.6702200493582287,2.977145879482987,0.4633775012404039,23.021159250256552,f277w
0.9118,10.81967,4.095085713605522,3.15541633408136,0.5236754842215772,20.485983962412977,f150w
1.6864,10.08739,3.065638557416097,0.9984085554510376,0.3620556084533449,22.245941438147476,f277w
2.556,10.10768,2.8682222344145902,0.8529341089983657,0.3570605327348463,23.417750844638334,f277w
1.4998,10.14304,2.8802817451328058,1.2983289071702169,0.3403546671856864,21.75515382779253,f277w
1.4355,10.95112,2.696352600587756,1.437658800341869,0.3192542251524786,20.04003167134608,f277w
2.5044,10.35284,4.4197388570286975,2.356012704709003,0.5477333577161262,22.64288579632541,f277w
3.0508,10.23478,2.072518552222111,1.3840060396648337,0.2704034293367539,22.78845523774777,f444w
1.6039,10.20448,1.7646210857279685,0.3005418436851728,0.2082771579309527,24.15451707069738,f277w
2.3959,10.09013,2.788378975127832,1.4819144327577611,0.3424229720532994,22.790119211709644,f277w
1.5922,10.00416,3.086357589738165,0.7926627293834193,0.3642871038552887,21.84803882034494,f277w
2.0271,10.39452,0.42986698288386127,3.9019218357655614,0.051430408105016,22.489552914224156,f277w
2.815,10.50031,2.8464468699634033,5.0495478568474335,0.362913633094701,22.527165688647827,f277w
1.0807,10.02301,2.2697133030914887,2.8759581341340215,0.2786644601419002,21.949682311234035,f277w
0.3404,10.30014,2.324433092562776,4.194837884794507,0.4791848837757405,19.313123061575865,f115w
1.0145,10.23486,3.455213342182543,1.6639699804246544,0.4299888551991723,21.14518638665888,f277w
1.6522,10.58431,2.5270792106719737,0.9840212843214444,0.2983314218057007,22.098747308293632,f277w
1.0007,10.36148,2.3392672752183175,0.8315123410640982,0.2920422557989097,20.31742883346258,f277w
0.5368,10.0273,4.000031592923824,1.0756315286871294,0.6315307769745887,20.806421826259008,f150w
2.1903,10.23717,2.8366271179954485,0.7782944412119305,0.3429360896079939,22.981469565707215,f277w
2.4346,10.55014,0.23714557154601676,7.5757254954324065,0.0292155223544423,21.809277033389503,f277w
2.4618,10.12114,1.8803246400606348,1.4391814549087243,0.2321795727392155,23.491182415993297,f277w
3.2967,10.30268,2.2589660798669207,1.0984215629397354,0.302143412855083,22.752899437988756,f444w
1.1535,10.0482,0.7968485097247563,5.754798843388375,0.0966771154704722,22.049114949062645,f277w
2.861,11.24959,1.6497166257068103,2.120135453369106,0.2112654573213485,21.79536497978065,f277w
1.6162,10.75127,3.6215094848202414,1.646328292250364,0.4274492871958707,21.06036366407313,f277w
3.0066,10.29254,0.9577389034393342,1.8600566107663592,0.1244095191806182,22.90944341438663,f444w
2.4056,10.10311,1.8626361292333187,2.6600731147367345,0.2289201860705937,23.161674539156188,f277w
1.2627,10.25178,0.6885908622409225,4.385840598835373,0.0824642260442826,21.80019600601475,f277w
1.5317,10.75135,0.9525065537944962,1.5491841627024037,0.1124863209588482,21.0020333587576,f277w
1.1175,10.02641,0.4973879311714421,3.4355375680773075,0.0606792455659182,21.97517781199613,f277w
3.2606,11.55729,3.751533578984514,4.036663998849773,0.4999342489732814,20.71055869620643,f444w
1.3657,10.90429,2.7815578571672996,2.0512731253529237,0.3304774351365275,20.53729932345302,f277w
1.6382,10.25858,2.172731745580466,1.2164624363518806,0.2564724963735353,22.435054760901465,f277w
1.0132,10.44988,0.4946659502185148,3.274793164613832,0.0615775208919016,20.94897878993998,f277w
0.3195,10.72283,6.294347815806869,2.064131471994603,1.353549767339303,18.380040585965663,f115w
0.3235,10.48057,5.844911244883754,1.156236870962232,1.2464147002538437,18.738849028367728,f115w
1.9612,10.26217,3.1125568274894664,1.1379025699908245,0.3710708911417563,22.17737617013253,f277w
2.1116,10.74664,1.7765993261153163,2.6526259925395355,0.2136511519321909,22.466176437581,f277w
1.8242,10.34995,0.10464423266289652,8.99999599713212,0.0124017246807837,21.467656953252195,f277w
1.9764,11.15,2.7051805735580774,3.520788180711201,0.3227574685069367,20.71384666927586,f277w
0.7073,10.09901,1.3936890818728842,2.056565293243714,0.1942311366806674,21.600414314905414,f150w
1.7328,10.09183,3.335232839360269,1.1319342141524344,0.3942320226979932,22.206731717289912,f277w
1.6979,10.1489,0.8427843102729391,4.6085302451757455,0.099551713020766,22.48644228208705,f277w
3.2245,10.21069,1.9121770232774256,1.0943918244437134,0.2538851397215577,23.420329378862277,f444w
1.4871,10.33836,2.817434675481602,1.0728176073848636,0.333031414360797,21.274129219766536,f277w
1.4705,10.3854,4.516346635345219,0.6320058815106656,0.5340975383364376,21.128134504463137,f277w
2.2655,10.70874,2.5369610578168826,0.7797997241193183,0.3083819844152732,22.030616632339353,f277w
1.5946,10.01909,2.6741406446188987,1.9097210425564988,0.31563076260898,22.42189771538198,f277w
2.4521,10.02394,3.4508537107567774,0.3355894085385196,0.4257573745500722,23.52765602059471,f277w
1.4227,10.13031,3.376583718216019,0.5135363214200416,0.4000053134061639,22.213810833123667,f277w
1.6415,10.43043,2.3450555684115715,0.8107931767492307,0.2768197998699733,22.10582293979813,f277w
1.0046,10.09406,2.3218468498748392,0.6371428069954557,0.2896026229537561,21.062918137408563,f277w
2.4077,10.34693,0.4622748715778365,2.2511485140483782,0.0568239331455631,22.80178689783463,f277w
1.0992,10.25039,0.9977232438548268,2.9741240299912826,0.1220924386825976,21.395514644174245,f277w
3.267,10.49786,1.3745096736204077,1.1990633457339808,0.1832884428943057,22.887793319847862,f444w
2.3722,10.22457,2.596000097341006,0.5889541156916825,0.3181860370440897,22.9263384292704,f277w
1.2368,10.54963,1.1214917667556938,1.4451071240600342,0.1346593893343209,21.18406454340441,f277w
1.2307,10.91892,3.1033628211154993,2.8858242264874865,0.3728704610157636,19.593979820242225,f277w
3.094,10.06996,1.10895665073827,1.7078057446979449,0.1453126624852654,23.75017306777998,f444w
2.2763,10.32997,1.1037603164691576,2.023483743899381,0.1342771094639298,22.83776525832522,f277w
0.9199,10.55,1.3645986139447783,2.3319704756606088,0.1740745661800426,20.671802772212953,f150w
0.9943,10.45013,1.015056595524807,5.493527916304999,0.1269164100869767,21.317634092154293,f150w
1.1001,10.91809,1.7473212825822337,3.1389434318725264,0.2137883117540364,20.098520738707755,f277w
2.3657,10.12236,1.2571608744389247,1.7405034802973012,0.1540069889003165,22.79367569595628,f277w
1.0014,10.21859,0.8501155618458524,2.6491323584592346,0.106113887115455,21.377990837791337,f277w
1.3583,11.04808,4.563523210036916,2.666406269760461,0.5424374928831195,19.780618533172166,f277w
0.8702,10.09974,3.6930387440028163,1.034356277783109,0.4787307786251492,21.150239554059723,f150w
